glm rf gbm gp svm nn dt rbm knn
glm 1 0.869378580368293 0.888787109096922 0.435901968499328 0.748116624108733 0.742913761913401 0.768105187292607 0.732550722652179 0.376360935608712
rf 0.869378580368293 1 0.962325289720203 0.634108283217828 0.820049063037942 0.764747592986452 0.866762943778939 0.812408039876727 0.570400450049167
gbm 0.888787109096922 0.962325289720203 1 0.564254584325558 0.792391000330203 0.731705895874953 0.841671517761301 0.800538491912789 0.487964416379042
gp 0.435901968499328 0.634108283217828 0.564254584325558 1 0.433491474691001 0.603492674768792 0.556036954705022 0.500657847767098 0.84928622292486
svm 0.748116624108733 0.820049063037942 0.792391000330203 0.433491474691001 1 0.635025057099977 0.703099455460277 0.656324549996875 0.344263611072802
nn 0.742913761913401 0.764747592986452 0.731705895874953 0.603492674768792 0.635025057099977 1 0.66963685982912 0.613779492798983 0.626367054308447
dt 0.768105187292607 0.866762943778939 0.841671517761301 0.556036954705022 0.703099455460277 0.66963685982912 1 0.915693766566269 0.507956073354587
rbm 0.732550722652179 0.812408039876727 0.800538491912789 0.500657847767098 0.656324549996875 0.613779492798983 0.915693766566269 1 0.464100146852513
knn 0.376360935608712 0.570400450049167 0.487964416379042 0.84928622292486 0.344263611072802 0.626367054308447 0.507956073354587 0.464100146852513 1
